"county_i","county_j","flow","Dist-ph","resdist","empldist"
1,1,5491,1,"356365.4","356365.4"
1,2,28,2,"356365.4","272892.8"
1,3,1704,3,"356365.4",238833
1,4,103,4,"356365.4","196036.8"
1,5,1255,5,"356365.4","162334.7"
1,6,99,6,"356365.4","174899.8"
1,7,172,7,"356365.4","104210.2"
1,8,261,8,"356365.4","130580.4"
1,9,26,9,"356365.4","327006.1"
1,10,386,10,"356365.4","77670.95"
1,11,29,11,"356365.4","202339.4"
1,12,98,12,"356365.4","88204.77"
1,13,467,13,"356365.4","73216.05"
1,14,195,14,"356365.4","33011.23"
1,15,111,15,"356365.4","137902.3"
1,16,1006,16,"356365.4",0
1,17,325,17,"356365.4","48877.46"
1,18,163,18,"356365.4","39163.93"
1,19,211,19,"356365.4","46973.45"
1,21,110,20,"356365.4",153352
1,22,78,21,"356365.4","105186.3"
1,23,54,22,"356365.4","306569.5"
2,1,0,23,"272892.8","356365.4"
2,2,25691,24,"272892.8","272892.8"
2,3,68,25,"272892.8",238833
2,4,12919,26,"272892.8","196036.8"
2,5,3666,27,"272892.8","162334.7"
2,6,4174,28,"272892.8","174899.8"
2,7,3058,29,"272892.8","104210.2"
2,8,272,30,"272892.8","130580.4"
2,9,83,31,"272892.8","327006.1"
2,10,1895,32,"272892.8","77670.95"
2,11,376,33,"272892.8","202339.4"
2,12,145,34,"272892.8","88204.77"
2,13,519,35,"272892.8","73216.05"
2,14,566,36,"272892.8","33011.23"
2,15,14,37,"272892.8","137902.3"
2,16,1164,38,"272892.8",0
2,17,58,39,"272892.8","48877.46"
2,18,4,40,"272892.8","39163.93"
2,19,102,41,"272892.8","46973.45"
2,21,18,42,"272892.8",153352
2,22,40,43,"272892.8","105186.3"
2,23,4,44,"272892.8","306569.5"
3,1,167,45,238833,"356365.4"
3,2,181,46,238833,"272892.8"
3,3,29428,47,238833,238833
3,4,869,48,238833,"196036.8"
3,5,19889,49,238833,"162334.7"
3,6,677,50,238833,"174899.8"
3,7,869,51,238833,"104210.2"
3,8,4079,52,238833,"130580.4"
3,9,80,53,238833,"327006.1"
3,10,3734,54,238833,"77670.95"
3,11,181,55,238833,"202339.4"
3,12,69,56,238833,"88204.77"
3,13,4499,57,238833,"73216.05"
3,14,1041,58,238833,"33011.23"
3,15,132,59,238833,"137902.3"
3,16,1304,60,238833,0
3,17,127,61,238833,"48877.46"
3,18,92,62,238833,"39163.93"
3,19,140,63,238833,"46973.45"
3,20,8,64,238833,"243787.8"
3,21,107,65,238833,153352
3,22,42,66,238833,"105186.3"
3,23,12,67,238833,"306569.5"
4,1,0,68,"196036.8","356365.4"
4,2,3567,69,"196036.8","272892.8"
4,3,239,70,"196036.8",238833
4,4,65989,71,"196036.8","196036.8"
4,5,11399,72,"196036.8","162334.7"
4,6,26288,73,"196036.8","174899.8"
4,7,11420,74,"196036.8","104210.2"
4,8,966,75,"196036.8","130580.4"
4,9,182,76,"196036.8","327006.1"
4,10,7108,77,"196036.8","77670.95"
4,11,1325,78,"196036.8","202339.4"
4,12,339,79,"196036.8","88204.77"
4,13,2215,80,"196036.8","73216.05"
4,14,2122,81,"196036.8","33011.23"
4,15,38,82,"196036.8","137902.3"
4,16,6023,83,"196036.8",0
4,17,655,84,"196036.8","48877.46"
4,18,73,85,"196036.8","39163.93"
4,19,238,86,"196036.8","46973.45"
4,21,122,87,"196036.8",153352
4,22,106,88,"196036.8","105186.3"
4,23,18,89,"196036.8","306569.5"
5,1,0,90,"162334.7","356365.4"
5,2,1180,91,"162334.7","272892.8"
5,3,2461,92,"162334.7",238833
5,4,8652,93,"162334.7","196036.8"
5,5,137632,94,"162334.7","162334.7"
5,6,3984,95,"162334.7","174899.8"
5,7,8292,96,"162334.7","104210.2"
5,8,12142,97,"162334.7","130580.4"
5,9,221,98,"162334.7","327006.1"
5,10,24715,99,"162334.7","77670.95"
5,11,655,100,"162334.7","202339.4"
5,12,108,101,"162334.7","88204.77"
5,13,11394,102,"162334.7","73216.05"
5,14,4507,103,"162334.7","33011.23"
5,15,377,104,"162334.7","137902.3"
5,16,10930,105,"162334.7",0
5,17,763,106,"162334.7","48877.46"
5,18,245,107,"162334.7","39163.93"
5,19,394,108,"162334.7","46973.45"
5,20,12,109,"162334.7","243787.8"
5,21,439,110,"162334.7",153352
5,22,265,111,"162334.7","105186.3"
5,23,51,112,"162334.7","306569.5"
6,1,0,113,"174899.8","356365.4"
6,2,1411,114,"174899.8","272892.8"
6,3,274,115,"174899.8",238833
6,4,26391,116,"174899.8","196036.8"
6,5,6279,117,"174899.8","162334.7"
6,6,197440,118,"174899.8","174899.8"
6,7,25004,119,"174899.8","104210.2"
6,8,1851,120,"174899.8","130580.4"
6,9,989,121,"174899.8","327006.1"
6,10,15032,122,"174899.8","77670.95"
6,11,11713,123,"174899.8","202339.4"
6,12,2354,124,"174899.8","88204.77"
6,13,5363,125,"174899.8","73216.05"
6,14,8080,126,"174899.8","33011.23"
6,15,97,127,"174899.8","137902.3"
6,16,24375,128,"174899.8",0
6,17,3157,129,"174899.8","48877.46"
6,18,342,130,"174899.8","39163.93"
6,19,1402,131,"174899.8","46973.45"
6,20,0,132,"174899.8","243787.8"
6,21,236,133,"174899.8",153352
6,22,601,134,"174899.8","105186.3"
6,23,76,135,"174899.8","306569.5"
7,1,0,136,"104210.2","356365.4"
7,2,990,137,"104210.2","272892.8"
7,3,140,138,"104210.2",238833
7,4,11922,139,"104210.2","196036.8"
7,5,10810,140,"104210.2","162334.7"
7,6,25668,141,"104210.2","174899.8"
7,7,112023,142,"104210.2","104210.2"
7,8,2483,143,"104210.2","130580.4"
7,9,421,144,"104210.2","327006.1"
7,10,31531,145,"104210.2","77670.95"
7,11,1605,146,"104210.2","202339.4"
7,12,872,147,"104210.2","88204.77"
7,13,5149,148,"104210.2","73216.05"
7,14,7886,149,"104210.2","33011.23"
7,15,168,150,"104210.2","137902.3"
7,16,15749,151,"104210.2",0
