x_i,y_i,x_j,y_j,f_ij,f_ji
174899.800000,327006.100000,327006.100000,174899.800000,989,11619
202339.400000,202339.400000,202339.400000,202339.400000,172781,0
77670.950000,48877.460000,48877.460000,77670.950000,2262,2168
104210.200000,88204.770000,88204.770000,104210.200000,872,1349
88204.770000,88204.770000,88204.770000,88204.770000,84629,0
356365.400000,48877.460000,48877.460000,356365.400000,325,0
48877.460000,243787.800000,243787.800000,48877.460000,22,325
73216.050000,48877.460000,48877.460000,73216.050000,3701,3137
33011.230000,48877.460000,48877.460000,33011.230000,3459,5560
272892.800000,105186.300000,105186.300000,272892.800000,40,4
356365.400000,174899.800000,174899.800000,356365.400000,99,0
238833.000000,104210.200000,104210.200000,238833.000000,869,140
272892.800000,162334.700000,162334.700000,272892.800000,3666,1180
356365.400000,202339.400000,202339.400000,356365.400000,29,0
0.000000,46973.450000,46973.450000,0.000000,19677,338710
162334.700000,130580.400000,130580.400000,162334.700000,12142,14853
46973.450000,46973.450000,46973.450000,46973.450000,357681,0
174899.800000,104210.200000,104210.200000,174899.800000,25004,25668
162334.700000,162334.700000,162334.700000,162334.700000,137632,0
196036.800000,46973.450000,46973.450000,196036.800000,238,264
327006.100000,153352.000000,153352.000000,327006.100000,26,0
174899.800000,77670.950000,77670.950000,174899.800000,15032,9132
162334.700000,39163.930000,39163.930000,162334.700000,245,316
202339.400000,105186.300000,105186.300000,202339.400000,422,74
77670.950000,39163.930000,39163.930000,77670.950000,761,1095
104210.200000,46973.450000,46973.450000,104210.200000,773,765
88204.770000,48877.460000,48877.460000,88204.770000,28173,8832
48877.460000,306569.500000,306569.500000,48877.460000,3209,9826
73216.050000,243787.800000,243787.800000,73216.050000,18,136
356365.400000,356365.400000,356365.400000,356365.400000,5491,0
130580.400000,137902.300000,137902.300000,130580.400000,920,1096
196036.800000,77670.950000,77670.950000,196036.800000,7108,3885
272892.800000,174899.800000,174899.800000,272892.800000,4174,1411
327006.100000,33011.230000,33011.230000,327006.100000,2221,265
137902.300000,39163.930000,39163.930000,137902.300000,6003,996
162334.700000,202339.400000,202339.400000,162334.700000,655,1957
196036.800000,162334.700000,162334.700000,196036.800000,11399,8652
238833.000000,306569.500000,306569.500000,238833.000000,12,28
77670.950000,73216.050000,73216.050000,77670.950000,17138,16974
