"county_i","resdist","mwdist","mplusse","mminse"
1,356365.375,230148.484375,360300.4375,99996.53125
2,272892.75,211117.859375,281772.34375,140463.375
3,238833.046875,178091.796875,244041.5,112142.1015625
4,196036.75,163493.328125,220012.5625,106974.1015625
5,162334.71875,137054.359375,187880.640625,86228.078125
6,174899.8125,147745.84375,206559.140625,88932.546875
7,104210.203125,107284.4921875,157478.625,57090.3671875
8,130580.40625,106244.1640625,147665.625,64822.703125
9,327006.09375,267224.03125,354005.6875,180442.359375
10,77670.953125,84859.6171875,129730.5625,39988.671875
11,202339.421875,171767.703125,243167.90625,100367.4921875
12,88204.765625,57841.703125,101674.609375,14008.79296875
13,73216.046875,68911.6875,109745.828125,28077.546875
14,33011.2265625,45348.31640625,89639.5,1057.1328125
15,137902.265625,106780.875,159853.21875,53708.53515625
16,0,10248.0263671875,41753.33984375,-21257.28515625
17,48877.46484375,33193.48828125,66805.015625,-418.0390625
18,39163.93359375,35245.08203125,77934.8203125,-7444.65625
19,46973.44921875,37881.59765625,81812.921875,-6049.73046875
20,243787.78125,159953.5625,237241.34375,82665.78125
21,153352,112031.234375,177441.4375,46621.03515625
22,105186.3359375,95589.359375,169270.53125,21908.1796875
23,306569.5,245748.859375,352251.40625,139246.3125
